Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 02/01/2002 / Data final: 02/01/2012.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
31/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
28/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
27/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
26/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
25/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
24/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
21/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
20/10/2011;11,4;1,00042849;0;0;0;0;0;0;0;
19/10/2011;11,89;1,00044592;0;0;0;0;0;0;0;
18/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
17/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
14/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
13/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
11/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
10/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
07/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
06/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
05/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
04/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
03/10/2011;11,9;1,00044627;0;0;0;0;0;0;0;
30/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
29/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
28/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
27/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
26/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
23/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
22/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
21/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
20/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
19/09/2011;11,9;1,00044627;0;0;0;0;0;0;0;
16/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
15/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
14/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
13/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
12/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
09/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
08/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
06/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
05/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
